0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
143,MAUDA THERMAL POWER PROJECT UNIT-3 (2X660 MW),CENTRAL,660,30-03-12,MAHARASHTRA,BTG,PSWR,NTPC,29-01-13,12-05-13,N.A.,N.A.,08-09-13,15-06-14,30-08-14,22-11-15,28-07-15,03-01-16,N.A.,N.A.,22-07-15,06-01-16,28-07-15,10-01-16,30-08-15,24-01-16,30-09-15,03-03-16,N.A.,N.A.,27-02-14,15-03-14,28-04-14,15-01-15,31-05-15,19-10-15,30-06-15,22-11-15,31-07-15,12-03-16,31-08-15,13-03-16,N.A.,N.A.,31-12-15,28-03-16,29-02-16,28-03-16,N.A.,N.A.,31-05-16,05-01-17,30-04-16,18-03-17,N.A.,N.A.
144,YERMARUS TPS UNIT-1 (2X800 MW) ,STATE,800,09-04-10,KARNATAKA,BTG + CIVIL+CHP+AHP+MRS,PSSR,RPCL,13-07-11,29-10-12,N.A.,N.A.,21-01-11,29-04-13,09-01-13,31-07-14,08-09-13,10-08-15,N.A.,N.A.,15-10-13,02-09-15,31-10-13,06-09-15,15-11-13,03-11-15,08-12-13,12-01-16,N.A.,N.A.,09-01-12,30-10-13,23-04-12,09-01-14,08-09-13,31-12-14,10-11-13,04-02-15,30-11-13,31-03-15,08-12-13,12-09-15,N.A.,N.A.,08-01-14,09-02-16,08-04-14,29-03-16,N.A.,N.A.,08-04-14,07-03-17,08-04-14,12-01-18,N.A.,N.A.
145,PARLI TPS UNIT-8 (1X250 MW),STATE,250,20-01-09,MAHARASHTRA,BTG,PSWR,MAHAGENCO,20-01-10,20-08-10,20-07-10,10-04-11,N.A.,N.A.,20-06-11,25-12-12,20-08-11,22-05-15,N.A.,N.A.,20-09-11,03-09-15,19-10-11,06-09-15,20-10-11,17-12-15,19-11-11,06-01-16,N.A.,N.A.,20-07-10,24-04-12,N.A.,N.A.,20-08-11,11-12-14,20-08-11,21-05-15,20-09-11,10-10-15,20-10-11,05-02-16,N.A.,N.A.,20-11-11,03-03-16,19-12-11,30-03-16,N.A.,N.A.,20-02-12,18-11-16,19-01-12,24-04-17,N.A.,N.A.
146,HNPCL/VIZAG TPP UNIT-2 (2 X 520 MW),PRIVATE,520,30-06-10,AHDHRA PRADESH,EPC,PSER,HINDUJA NATIONAL POWER CORPORATION LTD (HNPCL),30-09-11,29-09-11,15-02-12,18-04-12,N.A.,N.A.,30-12-12,28-03-13,15-05-13,30-07-14,N.A.,N.A.,17-05-13,17-04-15,02-06-13,26-04-15,15-06-13,05-10-15,15-07-13,21-01-16,N.A.,N.A.,15-05-12,23-11-12,15-06-12,04-03-13,30-04-13,20-02-14,01-06-13,21-08-14,30-06-13,21-04-15,30-07-13,30-05-15,N.A.,N.A.,15-08-13,31-03-16,15-09-13,31-03-16,N.A.,N.A.,30-09-13,02-07-16,30-09-13,16-03-17,30-09-13,
147,LALITPUR STP PROJECT UNIT-3 (3 X 660 MW),PRIVATE,660,21-03-11,UTTAR PRADESH,BTG,PSNR,LALITPUR POWER GENERATION COMPANY LIMITED (LPGCL),20-10-12,28-11-12,N.A.,N.A.,,28-09-13,20-05-14,31-03-15,05-01-15,09-01-16,N.A.,N.A.,,13-01-16,02-02-15,20-01-16,,16-02-16,02-04-15,08-03-16,N.A.,N.A.,20-09-13,25-05-15,20-11-13,15-06-15,05-01-15,10-02-16,,14-12-15,05-03-15,18-02-16,15-04-15,16-03-16,N.A.,N.A.,20-05-15,30-03-16,05-06-15,01-04-16,N.A.,N.A.,20-06-15,23-12-16,20-06-15,10-02-17,N.A.,N.A.
148,BHAVNAGAR CFBC BECL UNIT-1 ( 2X 250 MW),STATE,250,18-02-10,GUJARAT,BTG,PSWR,GSECL,19-11-10,31-12-11,22-05-11,03-06-12,N.A.,N.A.,20-03-12,05-03-14,16-08-12,28-02-15,N.A.,N.A.,17-08-12,04-06-15,16-09-12,08-06-15,01-10-12,20-07-15,31-10-12,04-10-15,N.A.,N.A.,30-11-11,29-05-13,N.A.,N.A.,18-07-12,27-06-14,17-08-12,18-11-14,17-09-12,30-06-15,18-10-12,30-10-15,N.A.,N.A.,17-12-12,25-11-15,05-02-13,16-05-16,N.A.,N.A.,18-02-13,29-01-17,05-02-13,24-03-17,N.A.,N.A.
149,MARWA TPP UNIT-2 (2X500 MW),STATE,500,28-02-09,CHHATTISGARH,BTG + CIVIL,PSER,CSPGCL,30-03-10,26-04-10,31-10-10,06-03-11,N.A.,N.A.,30-10-11,06-09-12,30-03-12,08-05-14,N.A.,N.A.,21-04-12,24-06-14,27-04-12,29-06-14,24-05-12,03-09-14,31-05-12,23-09-14,N.A.,N.A.,31-01-11,20-10-11,N.A.,N.A.,21-02-12,02-12-13,28-02-12,29-03-14,27-03-12,18-10-14,21-06-12,16-01-15,N.A.,N.A.,28-07-12,31-03-15,30-11-12,15-07-16,N.A.,N.A.,30-11-12,31-07-16,30-11-12,24-01-17,N.A.,N.A.
150,BARA PRAYAGRAJ STPP UNIT-2 (3X660 MW) ,PRIVATE,660,21-10-09,UTTAR PRADESH ,BTG,PSNR,"PPGCL,(JP ASSOCIATES)",20-04-11,12-09-11,N.A.,N.A.,20-10-11,21-06-12,20-11-12,29-01-15,20-07-13,03-03-16,N.A.,N.A.,21-07-13,02-04-16,20-08-13,03-04-16,01-10-13,23-04-16,20-10-13,15-05-16,N.A.,N.A.,21-07-12,10-06-13,21-08-12,20-09-13,20-07-13,14-05-15,21-08-13,05-11-15,20-09-13,16-03-16,20-10-13,18-03-16,N.A.,N.A.,20-12-13,07-07-16,20-01-14,06-09-16,N.A.,N.A.,20-02-14,09-09-16,20-02-14,20-11-16,N.A.,N.A.
151,SINGARENI (ADILABAD) UNIT-2 (2X600 MW),CENTRAL,600,11-11-11,TELANGANA,BTG + CIVIL+SWITCHYARD,PSER,SCCL,12-12-12,28-05-13,08-06-13,14-12-13,N.A.,N.A.,10-04-14,03-11-14,28-09-14,03-08-15,N.A.,N.A.,,17-01-16,,22-01-16,,29-02-16,,25-03-16,N.A.,N.A.,14-09-13,14-08-14,N.A.,N.A.,09-09-14,03-11-15,,20-11-15,,05-03-16,,30-04-16,N.A.,N.A.,09-03-15,28-05-16,09-04-15,25-11-16,N.A.,N.A.,09-06-15,02-12-16,09-06-15,02-12-16,N.A.,N.A.
152,SAGARDIGHI TPP UNIT-4 (2X500 MW),STATE,500,22-02-11,WEST BENGAL,BTG+CIVIL,PSER,WBPDCL,04-06-12,16-03-12,22-11-12,25-01-13,N.A.,N.A.,08-10-13,21-04-14,22-07-14,19-02-16,N.A.,N.A.,25-07-14,09-03-16,05-08-14,13-03-16,07-08-14,30-04-16,01-09-14,09-07-16,N.A.,N.A.,25-02-13,27-08-13,N.A.,N.A.,08-07-14,10-02-16,24-07-14,04-03-16,08-09-14,07-05-16,25-09-14,09-08-16,N.A.,N.A.,22-11-14,15-10-16,22-12-14,15-12-16,N.A.,N.A.,22-02-15,20-12-16,22-12-14,07-10-17,22-02-15,
153,NASIK INDIA BULLS PH-I UNIT-2 (5 X 270 MW ),PRIVATE,270,24-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,24-09-10,08-12-10,24-02-11,27-07-11,N.A.,N.A.,24-12-11,03-07-12,24-04-12,27-11-13,N.A.,N.A.,10-05-12,01-01-14,15-05-12,06-01-14,20-05-12,01-03-14,14-06-12,14-03-14,N.A.,N.A.,24-05-11,28-09-11,N.A.,N.A.,24-04-12,16-10-13,10-05-12,09-10-13,14-06-12,13-01-14,18-06-12,10-03-14,N.A.,N.A.,24-06-12,21-03-16,24-08-12,15-02-17,N.A.,N.A.,24-10-12,31-03-16,24-10-12,31-03-16,24-10-12,01-04-16
154,MAUDA THERMAL POWER PROJECT UNIT-4 (2X660 MW),CENTRAL,660,30-03-12,MAHARASHTRA,BTG,PSWR,NTPC,29-07-13,19-12-13,N.A.,N.A.,08-02-14,27-01-15,28-02-15,10-08-16,28-01-16,13-12-16,N.A.,N.A.,29-01-16,16-12-16,06-02-16,23-12-16,29-02-16,21-01-17,30-03-16,17-02-17,N.A.,N.A.,27-08-14,15-10-15,27-10-14,16-10-15,30-11-15,13-09-16,31-12-15,22-08-16,31-01-16,30-01-17,28-02-16,31-01-17,N.A.,N.A.,30-06-16,18-03-17,31-08-16,18-03-17,N.A.,N.A.,30-11-16,20-08-17,31-10-16,23-10-17,N.A.,N.A.
155,BONGAIGAON PROJECT UNIT-2 (3 X 250 MW) ,CENTRAL,250,05-02-08,ASSAM,BTG,PSER,NTPC,05-03-09,11-03-10,05-07-09,12-10-10,N.A.,N.A.,05-04-10,10-04-12,05-09-10,27-03-16,N.A.,N.A.,10-09-10,30-04-16,17-09-10,04-05-16,20-09-10,03-10-16,20-10-10,30-11-16,N.A.,N.A.,05-11-09,30-01-16,05-01-10,30-01-16,05-09-10,23-01-17,11-09-10,10-09-16,04-10-10,22-12-16,12-11-10,25-01-17,N.A.,N.A.,05-12-10,13-02-17,05-03-11,22-03-17,N.A.,N.A.,05-03-11,01-11-17,05-03-11,09-12-17,N.A.,N.A.
156,MUZAFFARPUR TPP STG.II UNIT-4 (2X195 MW) ,CENTRAL,195,12-03-10,BIHAR,BTG,PSER,KANTI BIJALI UTPADAN NIGAM LTD,11-03-11,03-04-12,11-07-11,12-09-12,N.A.,N.A.,11-04-12,05-08-13,11-08-12,23-08-15,N.A.,N.A.,31-08-12,10-10-15,30-08-12,13-10-15,20-09-12,05-11-15,11-10-12,25-11-15,N.A.,N.A.,11-11-11,17-10-14,11-12-11,15-05-15,11-09-12,09-01-16,20-09-12,07-12-15,11-10-12,08-03-16,10-10-12,16-03-16,N.A.,N.A.,11-12-12,24-03-16,11-02-13,24-03-17,N.A.,N.A.,11-02-13,29-04-17,11-02-13,07-03-18,N.A.,N.A.
157,BHAVNAGAR CFBC BECL UNIT-2 ( 2X 250 MW),PRIVATE,250,18-02-10,GUJARAT,BTG,PSWR,GSECL,20-03-11,15-05-12,22-08-11,13-10-12,N.A.,N.A.,20-06-12,29-06-14,16-11-12,15-12-15,N.A.,N.A.,17-12-12,28-01-16,16-01-13,31-01-16,01-01-13,14-02-16,31-01-13,03-03-16,N.A.,N.A.,20-10-11,23-12-13,N.A.,N.A.,18-10-12,22-12-14,17-11-12,13-06-15,17-12-12,04-02-16,18-01-13,12-02-16,N.A.,N.A.,17-03-13,09-06-16,05-05-13,27-03-17,05-05-13,27-03-17,05-05-13,27-03-17,07-05-13,,N.A.,N.A.
158,YERMARUS TPS UNIT-2 (2X800 MW) ,STATE,800,09-04-10,KARNATAKA,BTG + CIVIL+CHP+AHP+MRS,PSSR,RPCL,25-01-12,03-12-12,N.A.,N.A.,25-01-12,31-07-13,08-07-13,30-12-14,08-03-14,25-02-16,N.A.,N.A.,15-04-14,04-03-16,30-04-14,09-03-16,15-05-14,28-04-16,08-06-14,15-06-16,N.A.,N.A.,09-07-12,22-04-14,N.A.,N.A.,08-02-14,30-11-15,10-05-14,20-11-15,31-05-14,10-02-16,31-03-14,31-03-16,N.A.,N.A.,08-07-14,21-07-16,08-10-14,29-03-17,N.A.,N.A.,08-10-14,06-04-17,08-10-14,31-01-22,N.A.,N.A.
159,UNCHAHAR STAGE-IV UNIT-6 (1X500 MW),PRIVATE,500,15-11-13,UTTAR PRADESH,BTG + ELECTRICS + SWITCHYARD + ENGG. OF BOP PKGS.,PSNR,NBPPL (NTPC BHEL POWER PROJECTS PVT. LTD.),15-09-14,08-06-15,15-02-15,14-10-15,N.A.,N.A.,15-01-16,24-06-16,31-08-16,26-01-17,N.A.,N.A.,,18-01-17,,30-01-17,,22-02-17,15-11-16,10-03-17,N.A.,N.A.,15-06-15,29-02-16,15-07-15,29-02-16,15-09-16,19-10-16,,16-11-16,15-11-16,14-03-17,25-11-16,26-03-17,N.A.,N.A.,30-11-16,31-03-17,05-12-16,31-03-17,N.A.,N.A.,14-04-17,01-09-17,14-04-17,30-10-17,N.A.,N.A.
160,NABINAGAR UNIT-2 (4X250 MW ),CENTRAL,250,22-01-08,BIHAR,BTG,PSER,BRBCL,31-08-11,20-12-11,31-12-11,21-03-13,N.A.,N.A.,30-09-12,02-03-15,28-02-13,02-10-16,N.A.,N.A.,03-03-13,14-10-16,08-03-13,15-10-16,10-03-13,28-01-17,31-03-13,21-02-17,N.A.,N.A.,31-05-12,06-10-15,31-07-12,30-11-15,31-03-13,31-03-17,03-04-13,29-12-16,30-04-13,30-03-17,10-05-13,31-03-17,N.A.,N.A.,31-05-13,01-04-17,31-08-13,03-04-17,31-08-13,03-04-17,31-08-13,31-08-17,31-08-13,19-09-18,N.A.,N.A.
161,NASIK INDIA BULLS PH-I UNIT-3 (5 X 270 MW ),PRIVATE,270,24-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,24-11-10,10-01-11,24-04-11,12-12-11,N.A.,N.A.,24-02-12,30-10-13,24-06-12,29-09-16,N.A.,N.A.,10-07-12,04-10-16,15-07-12,07-10-16,20-07-12,25-11-16,14-08-12,06-12-16,N.A.,N.A.,24-07-11,04-01-12,N.A.,N.A.,24-06-12,25-01-17,10-07-12,29-10-16,10-08-12,29-12-16,15-08-12,27-01-17,N.A.,N.A.,24-08-12,13-04-17,24-10-12,14-04-17,24-10-12,14-04-17,24-12-12,14-04-17,24-12-12,30-10-17,N.A.,N.A.
162,NASIK INDIA BULLS PH-I UNIT-4 (5 X 270 MW ),PRIVATE,270,24-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,24-01-11,16-05-11,24-06-11,23-12-11,N.A.,N.A.,24-04-12,09-08-16,24-08-12,30-12-16,N.A.,N.A.,10-09-12,15-01-17,15-09-12,18-01-17,20-09-12,04-02-17,14-10-12,13-02-17,N.A.,N.A.,24-09-11,12-04-16,N.A.,N.A.,24-08-12,29-03-17,10-09-12,30-01-17,14-10-12,04-03-17,,29-03-17,N.A.,N.A.,24-10-12,19-05-17,24-12-12,19-05-17,24-12-12,19-05-17,24-02-13,19-05-17,24-02-13,31-01-18,N.A.,N.A.
163,BARA PRAYAGRAJ STPP UNIT-3 (3X660 MW) ,PRIVATE,660,21-10-09,UTTAR PRADESH,BTG,PSNR,"PPGCL,(JP ASSOCIATES)",20-09-11,05-09-11,N.A.,N.A.,20-03-12,12-05-12,20-04-13,29-11-14,20-12-13,31-05-16,N.A.,N.A.,21-12-13,28-06-16,20-01-14,30-06-16,01-03-14,15-01-17,20-03-14,06-02-17,N.A.,N.A.,21-12-12,10-01-14,21-01-13,11-11-14,20-12-13,05-02-17,21-01-14,09-04-16,20-02-14,14-02-17,20-03-14,15-02-17,N.A.,N.A.,20-05-14,26-03-17,20-06-14,22-05-17,20-06-14,22-05-17,20-07-14,25-05-17,20-07-14,25-01-18,N.A.,N.A.
164,NASIK INDIA BULLS PH-I UNIT-5 (5 X 270 MW ),PRIVATE,270,24-11-09,MAHARASHTRA,BTG,PSWR,INDIA BULLS,24-03-11,15-06-11,24-08-11,06-03-12,N.A.,N.A.,24-06-12,09-01-17,24-10-12,20-02-17,N.A.,N.A.,10-11-12,24-02-17,15-11-12,26-02-17,20-11-12,10-03-17,14-12-12,25-03-17,N.A.,N.A.,24-11-11,14-07-16,N.A.,N.A.,24-10-12,28-04-17,10-11-12,13-02-17,14-12-12,21-03-17,17-12-12,28-04-17,N.A.,N.A.,24-12-12,30-05-17,24-02-13,30-05-17,24-02-13,30-05-17,24-02-13,,24-04-13,,N.A.,N.A.
165,BARAUNI UNIT-8 (2X250MW),STATE,250,11-03-11,BIHAR,EPC,PSER,BSEB,15-03-12,10-12-12,21-08-12,05-06-13,N.A.,N.A.,22-04-13,21-08-14,21-10-13,18-06-17,N.A.,N.A.,24-10-13,29-06-17,10-11-13,23-07-17,13-11-13,08-08-17,15-12-13,03-09-17,N.A.,N.A.,11-09-12,21-08-14,09-11-12,12-09-14,11-08-13,30-12-15,27-09-13,09-07-16,26-10-13,16-01-17,11-12-13,19-06-17,N.A.,N.A.,10-01-14,14-11-17,10-02-14,11-01-18,10-02-14,11-01-18,10-02-14,01-03-20,10-03-14,09-03-20,N.A.,N.A.
166,RAYALASEEMA STG-IV (600 MW),STATE,600,10-02-11,AHDHRA PRADESH,BTG+ SWITCHYARD WITH CIVIL,PSSR,APGENCO,10-02-12,04-02-13,10-08-12,30-11-13,N.A.,N.A.,10-08-13,10-11-15,10-02-14,29-12-16,N.A.,N.A.,25-02-14,23-02-17,28-02-14,25-02-17,30-03-14,18-04-17,10-05-14,13-05-17,N.A.,N.A.,10-06-12,07-03-16,10-08-12,01-05-16,10-02-14,20-06-17,01-03-14,24-02-17,10-03-14,18-05-17,10-04-14,21-06-17,N.A.,N.A.,10-06-14,02-07-17,10-07-14,12-03-18,N.A.,N.A.,10-08-14,28-03-18,10-08-14,27-04-18,N.A.,N.A.
167,BARAUNI UNIT-9 (2X250MW),STATE,250,11-03-11,BIHAR,EPC,PSER,BSEB,15-06-12,21-01-13,21-11-12,15-09-13,N.A.,N.A.,22-07-13,21-09-14,21-01-14,28-08-17,N.A.,N.A.,,25-01-18,,15-02-18,13-02-14,22-02-18,15-03-14,09-03-18,N.A.,N.A.,11-12-12,22-08-14,09-02-13,25-08-14,11-11-13,17-03-18,27-12-13,20-06-17,26-01-14,08-02-18,11-03-14,18-03-18,N.A.,N.A.,10-04-14,31-03-18,10-05-14,31-03-18,10-05-14,31-03-18,10-05-14,,10-06-14,,N.A.,N.A.
168,SOLAPUR (ESP PACKAGE) UNIT-1 (2X660 MW),CENTRAL,0,09-04-12,MAHARASHTRA,ESP PACKAGE ONLY,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-04-15,20-08-16,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-08-15,25-03-17,09-08-15,07-04-17,05-12-15,07-04-17,05-12-15,25-09-17,05-12-15,24-08-17,N.A.,N.A.
169,LARA (ESP PKG) UNIT-1 (2X800 MW),CENTRAL,0,31-12-13,CHHATISHGARH,ESP PACKAGE ONLY,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,29-02-16,01-01-17,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,30-06-16,09-09-17,30-08-16,23-03-18,30-08-16,23-03-18,30-08-16,01-10-19,30-11-16,05-03-19,N.A.,N.A.
170,KOTHAGUDEM (1X800 MW),STATE,800,01-01-15,TELANGANA,EPC,PSSR,TSGENCO,15-09-15,24-01-16,N.A.,N.A.,29-02-16,17-08-16,31-12-16,22-09-17,31-05-17,31-01-18,N.A.,N.A.,15-06-17,29-03-18,30-06-17,01-04-18,15-07-17,16-04-18,05-08-17,30-05-18,N.A.,N.A.,01-06-16,25-11-16,01-07-16,13-03-17,31-07-17,25-01-18,01-07-17,08-02-18,31-08-17,28-03-18,15-09-17,31-03-18,29-09-17,30-06-18,30-09-17,30-06-18,30-11-17,05-10-18,31-12-17,26-12-18,31-12-17,26-12-18,31-12-17,19-02-19,N.A.,N.A.
171,NABINAGAR UNIT-3 (4X250 MW ),CENTRAL,250,22-01-08,BIHAR,BTG,PSER,BRBCL,30-11-11,25-05-12,31-03-12,10-06-13,N.A.,N.A.,31-12-12,30-11-16,31-05-13,13-09-18,N.A.,N.A.,03-06-13,22-09-18,08-06-13,03-10-18,10-06-13,03-11-18,30-06-13,17-11-18,N.A.,N.A.,31-08-12,18-08-16,31-10-12,02-01-17,30-06-13,31-03-18,03-07-13,20-02-18,31-07-13,26-07-18,10-08-13,01-11-18,N.A.,N.A.,31-08-13,31-12-18,30-11-13,23-01-19,30-11-13,20-02-19,30-11-13,20-02-19,30-11-13,11-09-19,N.A.,N.A.
172,BONGAIGAON PROJECT UNIT-3 (3 X 250 MW) ,CENTRAL,250,05-02-08,ASSAM,BTG,PSER,NTPC,05-07-09,02-04-12,05-11-09,25-02-13,N.A.,N.A.,05-08-10,22-03-14,05-01-11,01-07-17,N.A.,N.A.,10-01-11,15-06-18,16-01-11,19-06-18,20-01-11,03-08-18,20-02-11,10-09-18,N.A.,N.A.,05-03-10,13-12-16,06-05-10,13-12-16,05-01-11,21-11-18,11-01-11,19-03-18,04-02-11,26-07-18,12-03-11,26-07-18,N.A.,N.A.,05-04-11,02-01-19,05-07-11,10-02-19,05-07-11,26-03-19,05-07-11,26-03-19,05-07-11,26-03-19,N.A.,N.A.
173,GADARWARA UNIT-1 (2X800 MW),CENTRAL,800,22-03-13,MADHYA PRADESH,BTG,PSNR,NTPC,22-03-14,27-11-14,N.A.,N.A.,01-11-14,29-08-15,22-07-15,05-12-16,10-03-16,22-04-17,22-03-16,02-05-17,N.A.,N.A.,N.A.,N.A.,22-04-16,15-06-17,22-05-16,21-07-17,N.A.,N.A.,22-01-15,05-03-16,22-03-15,15-04-16,22-01-16,22-08-17,30-01-16,22-02-17,22-03-16,03-07-17,22-04-16,09-09-17,N.A.,N.A.,22-07-16,30-08-18,22-09-16,13-10-18,22-09-16,29-03-19,22-09-16,01-06-19,22-10-16,06-06-19,22-11-16,14-08-19
174,SOLAPUR (ESP PACKAGE) UNIT-2 (2X660 MW),CENTRAL,0,09-04-12,MAHARASHTRA,ESP PACKAGE ONLY,PSWR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,05-10-15,30-11-18,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,07-02-16,15-02-19,09-02-16,21-03-19,05-06-16,30-03-19,05-06-16,30-03-19,05-06-16,21-03-19,N.A.,N.A.
175,IB VALLEY TPS. BANHARPALL UNIT-3 (2X660 MW) ,STATE,660,26-03-14,ODISHA,BTG,PSER,OPGC,21-11-14,20-01-15,N.A.,N.A.,19-06-15,25-07-16,11-09-16,26-12-17,09-04-17,18-11-18,N.A.,N.A.,19-04-17,13-12-18,09-05-17,16-12-18,08-06-17,24-01-19,08-07-17,23-02-19,N.A.,N.A.,16-11-15,11-03-16,15-01-16,30-07-16,09-04-17,30-09-17,15-04-17,19-02-18,24-05-17,05-06-18,08-06-17,09-10-18,N.A.,N.A.,07-08-17,30-03-19,14-08-17,20-04-19,06-09-17,01-07-19,13-09-17,04-07-19,06-09-17,02-07-19,13-09-17,
176,IB VALLEY TPS. BANHARPALL UNIT-4 (2X660 MW),STATE,660,26-03-14,ODISHA,BTG,PSER,OPGC,21-03-15,29-05-15,N.A.,N.A.,17-10-15,25-07-16,09-01-17,30-11-17,07-08-17,31-08-18,N.A.,N.A.,17-08-17,11-09-18,06-09-17,15-09-18,06-10-17,31-10-18,10-11-17,07-12-18,N.A.,N.A.,14-05-16,02-08-16,07-08-16,19-01-17,22-08-17,27-12-17,21-09-17,07-04-18,06-10-17,21-06-18,13-10-17,09-10-18,N.A.,N.A.,13-12-17,23-01-19,04-01-18,11-05-19,18-01-18,16-08-19,18-01-18,21-08-19,18-01-18,17-08-19,18-01-18,
177,WANAKBORI (800 MW) ,STATE,800,21-10-14,GUJARAT,EPC,PSWR,GSECL,21-02-16,25-02-16,N.A.,N.A.,30-09-16,31-01-17,21-07-17,12-01-18,21-03-18,12-07-18,N.A.,N.A.,31-03-18,31-07-18,07-04-18,04-08-18,10-04-18,12-10-18,30-04-18,27-11-18,N.A.,N.A.,20-08-16,22-12-16,N.A.,N.A.,21-03-18,24-07-18,05-04-18,05-07-18,15-05-18,21-10-18,30-06-18,28-12-18,N.A.,N.A.,21-07-18,03-03-19,20-10-18,14-06-19,22-10-18,12-10-19,22-10-18,12-10-19,22-10-18,23-10-19,22-10-18,
178,NEYVELI NEW THERMAL POWER PROJECT UNIT-1 (2X500 MW),CENTRAL,500,31-10-13,TAMILNADU,BTG + CIVIL,PSSR,NLCIL,31-12-14,07-03-16,N.A.,N.A.,30-06-15,12-12-16,30-06-16,24-08-18,30-04-17,28-12-18,N.A.,N.A.,05-05-17,28-12-18,15-05-17,04-01-19,10-06-17,20-01-19,30-06-17,20-02-19,N.A.,N.A.,25-10-15,28-05-16,N.A.,N.A.,11-01-17,31-05-17,10-02-17,20-11-17,21-02-17,15-04-18,30-04-17,30-11-18,N.A.,N.A.,31-07-17,28-03-19,28-08-17,29-09-19,31-08-17,19-12-19,31-08-17,19-12-19,30-09-17,24-04-20,N.A.,N.A.
179,SURATGARH UNIT-7 (2X660 MW),STATE,660,28-03-13,RAJSTHAN,EPC,PSER,RRVUNL,28-03-14,26-03-14,N.A.,N.A.,,31-12-14,28-08-15,31-12-15,28-02-16,24-02-17,N.A.,N.A.,20-03-16,16-04-18,12-04-16,30-04-18,10-05-16,09-06-18,29-05-16,25-08-18,N.A.,N.A.,15-12-14,02-05-15,N.A.,N.A.,15-03-16,20-01-17,17-03-16,09-12-16,28-04-16,03-05-17,31-05-16,09-11-17,N.A.,N.A.,28-06-16,18-12-18,28-07-16,30-03-19,28-08-16,15-03-20,28-08-16,01-12-20,28-08-16,15-03-20,28-09-16,31-03-22
